,id,name,artists,genres,popularity,added_at,danceability,energy,instrumentalness,tempo,valence
50,41niA9BIBT3GBJODEWicuP,Chasing Tides,['Josef Briem'],[],55,2022-12-09 15:29:46+00:00,0.485,0.0156,0.907,74.895,0.0627
51,1Tqt1u2aFYDBCMxxJRiM0f,In A Week Or Two,['Isaak Young'],[],55,2022-12-09 15:29:46+00:00,0.411,0.0712,0.905,64.673,0.0799
52,3vROTGlX31Rem9VaTqdBzS,summer silence,['Niveous'],[],55,2022-12-09 15:29:46+00:00,0.339,0.0631,0.859,68.534,0.165
53,0yS587osB0zPG0JB01roTg,Eulogy,['Woven Hearts'],['calming instrumental'],54,2022-12-09 15:29:46+00:00,0.135,0.0877,0.839,57.129,0.0917
54,0AOz0XTa8sCskJQlBtHfHG,That Bird of Prey Casts a Long Shadow,['Random Forest'],"['compositional ambient', 'focus']",54,2022-12-09 15:29:46+00:00,0.525,0.188,0.839,110.02,0.121
55,1IKTSaVFGdnkbWkzSJPveE,Chorale Bloom,['MVS'],[],54,2022-12-09 15:29:46+00:00,0.515,0.155,0.914,122.895,0.0574
56,6ZB05VtNtULcsYIwAzAYjS,Heavy lifting,['Stories Seldom Told'],[],53,2022-12-09 15:29:46+00:00,0.529,0.122,0.918,78.012,0.131
57,0SdF87pVzhydKwygD13H6B,Gentle Whisper,['Josef Briem'],[],54,2022-12-09 15:29:46+00:00,0.47,0.262,0.895,149.751,0.0748
58,4lcT08ARvK8cVjRLJbnKLh,heels to the heavens,['Dössell'],[],54,2022-12-09 15:29:46+00:00,0.298,0.155,0.877,64.395,0.0487
59,6zUDEI1myhSL5mAHRlKrIo,Resolutions,['Sad Monologue'],[],53,2022-12-09 15:29:46+00:00,0.566,0.266,0.937,136.028,0.139
60,1ubCPXu6jZQJfttzO9APUB,Breathe,['Night Songs'],[],53,2022-12-09 15:29:46+00:00,0.538,0.12,0.81,78.008,0.11
61,7wH5Ck2MRPWwwunLeMjg9f,Waiting for the Sunrise,['Across The Great Valley'],[],54,2022-12-09 15:29:46+00:00,0.374,0.158,0.95,140.09,0.0506
62,0lWWho4vGcKfIX8kA8YmAy,Dreamscapes,['Agnes Lundh'],[],57,2022-12-09 15:29:46+00:00,0.272,0.204,0.902,73.728,0.227
63,3aQlVIegX4nPS2igYBFllB,Undeniable,['Hollow Light'],['background music'],53,2022-12-09 15:29:46+00:00,0.531,0.188,0.909,110.087,0.076
64,2yR2KTxdGPqpk8krap1Bbl,Roundabout,['NYMK'],[],53,2022-12-09 15:29:46+00:00,0.183,0.0318,0.864,102.077,0.115
65,4BLroGG5pTJwGui3vurqql,Mývatn,['Haltura Arnadottir'],[],53,2022-12-09 15:29:46+00:00,0.389,0.201,0.87,76.869,0.128
66,1rpHkU5rHv0aPQwD65Ld1y,synergy,['Dreams Ahead'],[],53,2022-12-09 15:29:46+00:00,0.592,0.133,0.937,119.585,0.124
67,2kRzlPRExNaBBsIANubbHg,aesthetics,['Agnes Lundh'],[],53,2022-12-09 15:29:46+00:00,0.332,0.0686,0.936,170.949,0.232
68,1oCPeGIQ5TpDYKrS4KmSTr,Heliosphere,['Haltura Arnadottir'],[],53,2022-12-09 15:29:46+00:00,0.374,0.0557,0.915,70.748,0.174
69,138ntruMbI8Yp3FRYH1qm5,deep wild,['Far & Beyond'],[],53,2022-12-09 15:29:46+00:00,0.413,0.0227,0.882,75.735,0.125
70,2XLdNfDhWJwViR3wiq8NrA,Anagram,['Imala Zir'],[],53,2022-12-09 15:29:46+00:00,0.387,0.0853,0.89,73.894,0.14
71,3YszK66xCFReY90ys3jP6o,bewildered,['Garden Collective'],[],52,2022-12-09 15:29:46+00:00,0.545,0.124,0.863,85.044,0.12
72,5OqkQteQRQBSZeQXBbY7a6,In Every Heartbeat,['Axione'],[],52,2022-12-09 15:29:46+00:00,0.33,0.0687,0.921,199.982,0.0359
73,4yf9GHCVO6VyY6q9yl2LvI,Hold My Hand,['They Dream By Day'],"['atmosphere', 'background music', 'focus']",53,2022-12-09 15:29:46+00:00,0.516,0.26,0.924,93.031,0.0831
